year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,10,5,1513,1510,3,1710,1736,-26,UA,578,N469UA,EWR,LAS,276,2227,15,10,2013-10-05T19:00:00Z
2013,4,23,33,2255,98,147,11,96,B6,30,N304JB,JFK,ROC,53,264,22,55,2013-04-24T02:00:00Z
2013,10,5,1931,1940,-9,2041,2100,-19,EV,5714,N833AS,JFK,IAD,44,228,19,40,2013-10-05T23:00:00Z
2013,4,9,1150,1154,-4,1421,1420,1,FL,347,N285AT,LGA,ATL,109,762,11,54,2013-04-09T15:00:00Z
2013,5,9,1809,1745,24,2012,2021,-9,DL,884,N363NW,LGA,DEN,214,1620,17,45,2013-05-09T21:00:00Z
2013,1,3,1000,1005,-5,1215,1303,-48,DL,1529,N375DA,JFK,LAS,288,2248,10,5,2013-01-03T15:00:00Z
2013,5,18,808,815,-7,1006,1015,-9,DL,2119,N331NW,LGA,MSP,153,1020,8,15,2013-05-18T12:00:00Z
2013,8,11,1357,1359,-2,1626,1638,-12,UA,1740,N76504,EWR,IAH,187,1400,13,59,2013-08-11T17:00:00Z
2013,6,5,652,700,-8,808,830,-22,UA,1430,N78509,LGA,ORD,112,733,7,0,2013-06-05T11:00:00Z
2013,10,15,1515,1515,0,1715,1724,-9,EV,4181,N11127,EWR,MCI,151,1092,15,15,2013-10-15T19:00:00Z
2013,7,9,NA,1825,NA,NA,2005,NA,MQ,3134,N500MQ,EWR,ORD,NA,719,18,25,2013-07-09T22:00:00Z
2013,12,28,1329,1330,-1,1755,1814,-19,B6,103,N630JB,JFK,SJU,187,1598,13,30,2013-12-28T18:00:00Z
2013,10,31,1155,1200,-5,1453,1506,-13,DL,423,N722TW,JFK,LAX,322,2475,12,0,2013-10-31T16:00:00Z
2013,12,5,1941,1600,221,2106,1745,201,9E,4215,N903XJ,LGA,PIT,61,335,16,0,2013-12-05T21:00:00Z
2013,8,22,711,630,41,907,831,36,EV,4150,N16987,EWR,CVG,91,569,6,30,2013-08-22T10:00:00Z
2013,2,1,710,725,-15,1006,1035,-29,AS,11,N551AS,EWR,SEA,323,2402,7,25,2013-02-01T12:00:00Z
2013,5,30,1725,1550,95,2015,1900,75,AA,763,N3AJAA,LGA,DFW,196,1389,15,50,2013-05-30T19:00:00Z
2013,5,24,2218,2059,79,2358,2256,62,EV,4368,N18556,EWR,DAY,81,533,20,59,2013-05-25T00:00:00Z
2013,7,4,1350,1300,50,1603,1519,44,EV,5148,N137EV,EWR,ATL,113,746,13,0,2013-07-04T17:00:00Z
2013,2,15,1316,1315,1,1512,1504,8,US,1597,N564UW,EWR,CLT,92,529,13,15,2013-02-15T18:00:00Z
2013,9,17,553,602,-9,825,852,-27,UA,1115,N27733,EWR,TPA,131,997,6,2,2013-09-17T10:00:00Z
2013,2,10,1230,1200,30,1506,1430,36,MQ,4658,N515MQ,LGA,ATL,114,762,12,0,2013-02-10T17:00:00Z
2013,12,2,827,830,-3,943,1005,-22,MQ,3433,N0EGMQ,LGA,BNA,108,764,8,30,2013-12-02T13:00:00Z
2013,4,24,1251,1255,-4,1404,1416,-12,B6,66,N178JB,JFK,BUF,61,301,12,55,2013-04-24T16:00:00Z
2013,8,12,1146,1153,-7,1404,1421,-17,EV,4679,N15985,EWR,JAX,116,820,11,53,2013-08-12T15:00:00Z
2013,5,20,758,800,-2,1044,1135,-51,AA,59,N320AA,JFK,SFO,315,2586,8,0,2013-05-20T12:00:00Z
2013,7,5,1339,1345,-6,1611,1635,-24,AA,753,N3CWAA,LGA,DFW,193,1389,13,45,2013-07-05T17:00:00Z
2013,4,15,1106,1115,-9,1345,1406,-21,DL,695,N976DL,JFK,MCO,127,944,11,15,2013-04-15T15:00:00Z
2013,10,24,1928,1900,28,2034,2025,9,WN,490,N759GS,LGA,MKE,106,738,19,0,2013-10-24T23:00:00Z
2013,7,30,1944,1755,109,2257,2120,97,AA,177,N320AA,JFK,SFO,342,2586,17,55,2013-07-30T21:00:00Z
2013,6,23,1823,1830,-7,2135,2140,-5,B6,305,N703JB,EWR,FLL,153,1065,18,30,2013-06-23T22:00:00Z
2013,11,15,802,812,-10,1022,1029,-7,EV,4111,N26545,EWR,CHS,102,628,8,12,2013-11-15T13:00:00Z
2013,9,2,904,909,-5,1144,1155,-11,UA,1410,N78285,EWR,IAH,192,1400,9,9,2013-09-02T13:00:00Z
2013,8,13,1435,1359,36,1806,1724,42,DL,1565,N727TW,JFK,SFO,356,2586,13,59,2013-08-13T17:00:00Z
2013,5,27,1857,1900,-3,2131,2159,-28,DL,2159,N390DA,JFK,MCO,120,944,19,0,2013-05-27T23:00:00Z
2013,9,15,828,829,-1,1127,1151,-24,UA,1287,N14228,EWR,SFO,342,2565,8,29,2013-09-15T12:00:00Z
2013,9,18,959,1000,-1,1301,1304,-3,UA,1228,N81449,EWR,LAX,316,2454,10,0,2013-09-18T14:00:00Z
2013,5,14,NA,1329,NA,NA,1445,NA,EV,4281,N11536,EWR,BTV,NA,266,13,29,2013-05-14T17:00:00Z
2013,8,7,1926,1930,-4,2303,2248,15,B6,71,N593JB,JFK,SLC,284,1990,19,30,2013-08-07T23:00:00Z
2013,10,23,2232,2245,-13,2330,2353,-23,B6,234,N192JB,JFK,BTV,43,266,22,45,2013-10-24T02:00:00Z
2013,12,19,1100,1100,0,1334,1358,-24,DL,405,N977DL,JFK,MCO,130,944,11,0,2013-12-19T16:00:00Z
2013,1,30,826,740,46,1030,927,63,EV,4099,N13550,EWR,STL,151,872,7,40,2013-01-30T12:00:00Z
2013,3,11,1841,1838,3,2056,2104,-8,UA,390,N843UA,EWR,DEN,225,1605,18,38,2013-03-11T22:00:00Z
2013,3,14,951,955,-4,1201,1220,-19,MQ,4654,N5PBMQ,LGA,ATL,106,762,9,55,2013-03-14T13:00:00Z
2013,3,28,2120,2100,20,2339,2315,24,EV,3817,N36915,EWR,SDF,107,642,21,0,2013-03-29T01:00:00Z
2013,3,9,944,945,-1,1239,1300,-21,DL,1903,N920DL,LGA,SRQ,142,1047,9,45,2013-03-09T14:00:00Z
2013,5,27,658,705,-7,937,1009,-32,DL,1879,N370NW,LGA,FLL,145,1076,7,5,2013-05-27T11:00:00Z
2013,7,2,1926,1930,-4,2120,2200,-40,EV,5543,N761ND,LGA,OMA,148,1148,19,30,2013-07-02T23:00:00Z
2013,11,23,1248,1250,-2,1357,1350,7,AA,178,N3JUAA,JFK,BOS,35,187,12,50,2013-11-23T17:00:00Z
2013,11,7,1615,1600,15,1816,1824,-8,9E,2917,N924XJ,JFK,DTW,90,509,16,0,2013-11-07T21:00:00Z
2013,1,11,602,608,-6,729,755,-26,UA,963,N837UA,EWR,CLE,64,404,6,8,2013-01-11T11:00:00Z
2013,4,4,1558,1559,-1,1805,1814,-9,MQ,3985,N673MQ,JFK,CVG,98,589,15,59,2013-04-04T19:00:00Z
2013,1,8,1138,1144,-6,1306,1255,11,EV,4264,N22909,EWR,BTV,44,266,11,44,2013-01-08T16:00:00Z
2013,8,9,2032,1720,192,2255,1932,203,EV,6013,N17169,EWR,CVG,90,569,17,20,2013-08-09T21:00:00Z
2013,10,17,2241,2159,42,2339,2308,31,EV,5405,N612QX,LGA,SYR,37,198,21,59,2013-10-18T01:00:00Z
2013,2,23,1748,1745,3,2048,2117,-29,UA,1127,N14106,EWR,SFO,337,2565,17,45,2013-02-23T22:00:00Z
2013,8,26,1021,1025,-4,1154,1225,-31,MQ,3689,N521MQ,LGA,DTW,72,502,10,25,2013-08-26T14:00:00Z
2013,8,26,946,1000,-14,1049,1113,-24,US,2142,N950UW,LGA,BOS,37,184,10,0,2013-08-26T14:00:00Z
2013,3,13,1554,1550,4,1955,1950,5,AA,1635,N621AA,JFK,SJU,206,1598,15,50,2013-03-13T19:00:00Z
2013,3,26,1729,1730,-1,1951,1950,1,UA,504,N598UA,EWR,PHX,292,2133,17,30,2013-03-26T21:00:00Z
2013,11,14,1842,1830,12,2051,2035,16,US,425,N534UW,JFK,CLT,85,541,18,30,2013-11-14T23:00:00Z
2013,1,13,1355,1355,0,1506,1530,-24,WN,348,N784SW,LGA,MDW,117,725,13,55,2013-01-13T18:00:00Z
2013,4,16,554,600,-6,838,854,-16,B6,501,N640JB,JFK,FLL,141,1069,6,0,2013-04-16T10:00:00Z
2013,5,1,1619,1520,59,1744,1702,42,9E,3968,N8775A,JFK,ROC,49,264,15,20,2013-05-01T19:00:00Z
2013,10,13,952,959,-7,1129,1144,-15,AA,1030,N508AA,LGA,STL,118,888,9,59,2013-10-13T13:00:00Z
2013,9,17,556,600,-4,655,700,-5,US,1909,N959UW,LGA,PHL,39,96,6,0,2013-09-17T10:00:00Z
2013,4,5,932,831,61,1149,1151,-2,UA,1223,N57852,EWR,LAX,301,2454,8,31,2013-04-05T12:00:00Z
2013,3,8,1614,1605,9,1858,1939,-41,DL,1508,N915DL,JFK,RSW,139,1074,16,5,2013-03-08T21:00:00Z
2013,7,21,1648,1655,-7,1904,1900,4,US,681,N667AW,EWR,PHX,284,2133,16,55,2013-07-21T20:00:00Z
2013,9,21,2012,2015,-3,2144,2125,19,B6,418,N281JB,JFK,BOS,43,187,20,15,2013-09-22T00:00:00Z
2013,4,4,2047,2046,1,2213,2214,-1,EV,4571,N11548,EWR,MKE,117,725,20,46,2013-04-05T00:00:00Z
2013,12,12,820,830,-10,1019,1037,-18,DL,517,N325NB,EWR,MSP,157,1008,8,30,2013-12-12T13:00:00Z
2013,7,14,1557,1555,2,1828,1846,-18,UA,1087,N75429,EWR,MCO,131,937,15,55,2013-07-14T19:00:00Z
2013,10,3,2034,2029,5,2317,2337,-20,UA,1039,N76269,EWR,AUS,196,1504,20,29,2013-10-04T00:00:00Z
2013,9,19,1231,1238,-7,1341,1354,-13,EV,5132,N750EV,LGA,SYR,35,198,12,38,2013-09-19T16:00:00Z
2013,6,5,1430,1440,-10,1621,1630,-9,MQ,4429,N830MQ,LGA,CMH,79,479,14,40,2013-06-05T18:00:00Z
2013,10,11,1448,1429,19,1751,1730,21,B6,301,N594JB,JFK,FLL,142,1069,14,29,2013-10-11T18:00:00Z
2013,9,19,719,729,-10,952,1021,-29,B6,461,N583JB,LGA,PBI,132,1035,7,29,2013-09-19T11:00:00Z
2013,3,20,556,600,-4,856,911,-15,UA,1077,N24202,EWR,MIA,163,1085,6,0,2013-03-20T10:00:00Z
2013,2,1,1856,1722,94,2013,1844,89,EV,4300,N15555,EWR,RIC,55,277,17,22,2013-02-01T22:00:00Z
2013,12,5,648,650,-2,920,955,-35,AA,2493,N5EHAA,JFK,MCO,128,944,6,50,2013-12-05T11:00:00Z
2013,10,20,1349,1355,-6,1540,1542,-2,EV,4100,N14105,EWR,MEM,151,946,13,55,2013-10-20T17:00:00Z
2013,1,19,859,900,-1,1216,1227,-11,DL,120,N706TW,JFK,LAX,341,2475,9,0,2013-01-19T14:00:00Z
2013,12,10,1620,1602,18,1855,1845,10,DL,407,N311US,JFK,ATL,133,760,16,2,2013-12-10T21:00:00Z
2013,1,14,2052,2100,-8,2232,2235,-3,MQ,4507,N713MQ,LGA,RDU,71,431,21,0,2013-01-15T02:00:00Z
2013,2,16,707,710,-3,1156,1204,-8,B6,715,N805JB,JFK,SJU,208,1598,7,10,2013-02-16T12:00:00Z
2013,10,17,1054,1100,-6,1152,1215,-23,US,2144,N954UW,LGA,BOS,37,184,11,0,2013-10-17T15:00:00Z
2013,4,12,554,600,-6,841,850,-9,AA,707,N3AJAA,LGA,DFW,206,1389,6,0,2013-04-12T10:00:00Z
2013,10,25,1847,1830,17,2100,2110,-10,WN,2698,N427WN,EWR,MSY,164,1167,18,30,2013-10-25T22:00:00Z
2013,12,15,1738,1725,13,2043,2045,-2,VX,169,N626VA,EWR,LAX,335,2454,17,25,2013-12-15T22:00:00Z
2013,1,2,1519,1516,3,1833,1828,5,UA,1600,N14107,EWR,LAX,346,2454,15,16,2013-01-02T20:00:00Z
2013,6,10,1849,1730,79,2036,1904,92,B6,38,N346JB,JFK,ROC,51,264,17,30,2013-06-10T21:00:00Z
2013,10,10,1707,1515,112,1849,1724,85,EV,4181,N12201,EWR,MCI,146,1092,15,15,2013-10-10T19:00:00Z
2013,10,16,1422,1415,7,1659,1704,-5,UA,1232,N78506,EWR,IAH,197,1400,14,15,2013-10-16T18:00:00Z
2013,10,14,1502,1500,2,1749,1802,-13,UA,1483,N77530,EWR,AUS,202,1504,15,0,2013-10-14T19:00:00Z
2013,12,24,701,710,-9,842,840,2,B6,2702,N729JB,JFK,BUF,59,301,7,10,2013-12-24T12:00:00Z
2013,7,12,1637,1630,7,1844,1845,-1,MQ,3556,N735MQ,LGA,DTW,79,502,16,30,2013-07-12T20:00:00Z
2013,3,15,1426,1430,-4,1600,1623,-23,EV,4943,N718EV,LGA,RDU,69,431,14,30,2013-03-15T18:00:00Z
2013,5,24,756,801,-5,905,917,-12,EV,3843,N13958,EWR,BTV,43,266,8,1,2013-05-24T12:00:00Z
2013,12,22,1722,1636,46,2036,2026,10,UA,1284,N81449,EWR,SFO,355,2565,16,36,2013-12-22T21:00:00Z
2013,5,8,1252,1159,53,1549,1459,50,DL,1174,N961DL,LGA,PBI,144,1035,11,59,2013-05-08T15:00:00Z
2013,8,14,1707,1530,97,2105,1850,135,DL,95,N173DZ,JFK,LAX,342,2475,15,30,2013-08-14T19:00:00Z
2013,11,1,656,659,-3,936,955,-19,UA,537,N430UA,EWR,PBI,144,1023,6,59,2013-11-01T10:00:00Z
2013,3,4,1453,1500,-7,1607,1619,-12,US,2179,N752US,LGA,DCA,47,214,15,0,2013-03-04T20:00:00Z
2013,11,15,1446,1450,-4,1634,1616,18,9E,2940,N8554A,JFK,BWI,37,184,14,50,2013-11-15T19:00:00Z
2013,1,19,538,540,-2,1009,1017,-8,B6,725,N779JB,JFK,BQN,193,1576,5,40,2013-01-19T10:00:00Z
2013,2,18,610,610,0,908,915,-7,AA,1837,N3JRAA,LGA,MIA,151,1096,6,10,2013-02-18T11:00:00Z
2013,12,13,1850,1815,35,2250,2127,NA,9E,2915,N604LR,JFK,DFW,NA,1391,18,15,2013-12-13T23:00:00Z
2013,4,8,837,845,-8,1030,1047,-17,US,1429,N716UW,LGA,CLT,80,544,8,45,2013-04-08T12:00:00Z
2013,2,4,1720,1729,-9,2033,2046,-13,DL,1185,N391DA,EWR,SLC,286,1969,17,29,2013-02-04T22:00:00Z
2013,10,5,1214,1215,-1,1504,1510,-6,AA,1143,N3GKAA,LGA,DFW,191,1389,12,15,2013-10-05T16:00:00Z
2013,11,7,NA,1358,NA,NA,1555,NA,EV,4100,N11548,EWR,MEM,NA,946,13,58,2013-11-07T18:00:00Z
2013,7,27,804,805,-1,945,949,-4,9E,3611,N8631E,JFK,PIT,71,340,8,5,2013-07-27T12:00:00Z
2013,10,1,2058,2059,-1,2322,2358,-36,UA,1416,N75429,EWR,MCO,126,937,20,59,2013-10-02T00:00:00Z
2013,8,2,950,955,-5,1119,1115,4,MQ,3670,N828MQ,LGA,BNA,113,764,9,55,2013-08-02T13:00:00Z
2013,6,5,925,820,65,1247,1150,57,UA,557,N563UA,EWR,SFO,344,2565,8,20,2013-06-05T12:00:00Z
2013,10,9,1256,1300,-4,1525,1526,-1,DL,1798,N358NB,EWR,ATL,104,746,13,0,2013-10-09T17:00:00Z
2013,6,28,642,644,-2,859,915,-16,UA,1506,N47414,EWR,LAS,292,2227,6,44,2013-06-28T10:00:00Z
2013,6,11,658,700,-2,823,835,-12,WN,1696,N390SW,EWR,STL,125,872,7,0,2013-06-11T11:00:00Z
2013,6,9,1115,1114,1,1227,1255,-28,EV,5273,N719EV,LGA,PIT,54,335,11,14,2013-06-09T15:00:00Z
2013,5,4,1303,1315,-12,1450,1501,-11,US,1291,N754UW,EWR,CLT,79,529,13,15,2013-05-04T17:00:00Z
2013,3,3,744,755,-11,926,1007,-41,US,1733,N559UW,LGA,CLT,83,544,7,55,2013-03-03T12:00:00Z
2013,6,29,1615,1600,15,1857,1843,14,DL,847,N961DL,LGA,ATL,113,762,16,0,2013-06-29T20:00:00Z
2013,1,17,1248,1245,3,1347,1350,-3,AA,1850,N3ERAA,JFK,BOS,34,187,12,45,2013-01-17T17:00:00Z
2013,10,8,2026,2022,4,2150,2200,-10,UA,1464,N37252,EWR,CLE,56,404,20,22,2013-10-09T00:00:00Z
2013,7,3,1143,1145,-2,1446,1358,48,DL,401,N331NB,EWR,ATL,112,746,11,45,2013-07-03T15:00:00Z
2013,12,12,745,745,0,1100,1040,20,MQ,3066,N527MQ,JFK,TPA,166,1005,7,45,2013-12-12T12:00:00Z
2013,7,7,1355,1354,1,1450,1510,-20,B6,118,N274JB,JFK,BOS,37,187,13,54,2013-07-07T17:00:00Z
2013,11,16,654,600,54,933,905,28,AA,1175,N3DGAA,LGA,MIA,144,1096,6,0,2013-11-16T11:00:00Z
2013,1,18,NA,1528,NA,NA,1640,NA,EV,3267,N12166,EWR,ORF,NA,284,15,28,2013-01-18T20:00:00Z
2013,3,6,NA,1050,NA,NA,1250,NA,MQ,4589,N519MQ,LGA,DTW,NA,502,10,50,2013-03-06T15:00:00Z
2013,6,26,1434,1440,-6,1723,1749,-26,DL,1902,N922DL,LGA,PBI,144,1035,14,40,2013-06-26T18:00:00Z
2013,8,2,1957,2000,-3,2239,2310,-31,DL,2391,N963DL,JFK,TPA,135,1005,20,0,2013-08-03T00:00:00Z
2013,8,25,1751,1755,-4,2012,2045,-33,AA,785,N3ESAA,LGA,DFW,169,1389,17,55,2013-08-25T21:00:00Z
2013,11,13,1711,1655,16,2006,2015,-9,VX,413,N848VA,JFK,LAX,319,2475,16,55,2013-11-13T21:00:00Z
2013,4,17,1454,1440,14,1805,1753,12,DL,1779,N914DE,LGA,FLL,143,1076,14,40,2013-04-17T18:00:00Z
2013,5,19,720,729,-9,950,1020,-30,B6,361,N562JB,LGA,PBI,132,1035,7,29,2013-05-19T11:00:00Z
2013,6,24,933,900,33,1038,1026,12,UA,775,N482UA,EWR,ORD,100,719,9,0,2013-06-24T13:00:00Z
2013,9,12,733,740,-7,850,900,-10,MQ,3709,N528MQ,EWR,ORD,114,719,7,40,2013-09-12T11:00:00Z
2013,7,28,626,630,-4,841,915,-34,UA,1690,N76503,LGA,IAH,182,1416,6,30,2013-07-28T10:00:00Z
2013,7,21,1707,1705,2,1903,1910,-7,AA,1711,N3EAAA,JFK,ORD,120,740,17,5,2013-07-21T21:00:00Z
2013,2,8,620,630,-10,753,800,-7,EV,4560,N11191,EWR,PIT,57,319,6,30,2013-02-08T11:00:00Z
2013,7,21,1609,1620,-11,2023,1923,60,B6,1117,N640JB,LGA,TPA,144,1010,16,20,2013-07-21T20:00:00Z
2013,10,28,1820,1830,-10,1933,1950,-17,MQ,3486,N3AEMQ,LGA,BNA,107,764,18,30,2013-10-28T22:00:00Z
2013,2,24,552,600,-8,847,901,-14,B6,371,N569JB,LGA,FLL,161,1076,6,0,2013-02-24T11:00:00Z
2013,9,9,1858,1905,-7,2125,2205,-40,AA,1691,N568AA,EWR,DFW,172,1372,19,5,2013-09-09T23:00:00Z
2013,2,25,1807,1805,2,1944,1950,-6,WN,551,N205WN,LGA,BNA,126,764,18,5,2013-02-25T23:00:00Z
2013,11,22,1441,1425,16,1708,1653,15,FL,1693,N717JL,LGA,ATL,115,762,14,25,2013-11-22T19:00:00Z
2013,12,31,1401,1408,-7,1613,1613,0,EV,4100,N26545,EWR,MEM,167,946,14,8,2013-12-31T19:00:00Z
